Besoins_Title for which search is required,For testing,Descriptif,Keywords
Consultant fonctionnel ALMT / PnL,X,"Nous recherchons pour un de nos clients, un consultant fonctionnel
Compétences souhaitées : 
•  ALMT, PnL, Kondor+, SQL, Produits de Taux, Produits dérivés
Expérience souhaitée:
•  4 ans d’expérience minimum
•  Anglais courant
Mission:
• Mission longue, démarrage ASAP","ALMT, PNL, Kondor+, Kondor +, SQL, Produits dérives"
Développeur senior C++ / Sybase ,X,"Nous recherchons pour un de nos clients, un développeur senior C++
Compétences requises :
• Swift
• SYBASE,
•C++,
•Transact SQL
•Java
Expériences souhaitées :
• 6 ans d’expérience minimum
• Anglais courant
Mission
=> Longue, démarrage ASAP","C++,  Swift , Sybase,  SQL,  analyse"
Data Engineer SQL /MSBI (SSAS),X,"Nous recherchons pour un de nos clients, un data engineer 
Compétences souhaitées 
• SQL
• Maitrise des cubes SSAS (tabulaire & Multi-Dim)
• Cloud Azure – Power BI
Expérience souhaitée
• 5 ans d’expérience minimum
•  Anglais courant
Mission 
=> Longue, démarrage ASAP","SQL, cloud, azure, cubes, ssas"
Développeur Transact SQL ,X,"Nous recherchons pour un de nos clients, un Développeur Transact SQL 
Expérience souhaitée
•  4 ans d’expérience minimum
 Mission
=> Longue, démarrage ASAP","transact,  SQL"
Chef de projet MOA Conformité bancaire,X,"Nous recherchons pour un de nos clients, un chef de projet MOA conformité bancaire
Expérience souhaitée
• 4 ans d’expérience minimum
Mission
=>  longue, démarrage ASAP
","MOA,  conformité, banque, rédaction, livrable, projet, test, recette"
Ingénieur Etudes et Développement full stack Java / Angular ,X,"Nous recherchons pour un de nos clients, un chef de projet MOA conformité bancaire
Compétence souhaitée:
• Des connaissances sur J2EE, Angular, Spring (Core, Boot, Batch,...) sont vivement recommandées
• Vous êtes sensible aux problématiques de performances
• Vous êtes force de proposition 
• Vous êtes bon communiquant
Contexte
Intégré au sein d'une équipe de développeurs, vous participez à la conception ainsi qu'à la mise en œuvre des développements à partir des spécifications fonctionnelles définies.
Environnement de travail :
• Technologies Java J2EE, Spring Core, Angular
• Programmation orientée objet
• Maven
• Protocoles d'échanges REST & SOAP
• GitLab et IntelliJ
• Méthodologie Agile
Expérience souhaitée
• Vous avez de 3-8 ans d'expérience sur la technologie Java
","Stack, java stack, java angular"
 Expert Java (H/F) ,X,"Nous recherchons pour un de nos clients, un ou plusieurs expert Java
Compétences souhaitées:
•  Haute expertise technique avec un large spectre de compétences :                    
•  Développement (algorithmes et structures de données)
 • Backend (Java EE, webservices, bonnes pratiques API, sécurité des flux)
• Mise en œuvre de SI, briques applicatives pour grand comptes
• Analyse des incidents de production
Environnement de travail :
• Frontend (Angular 8)
• Base de données (PostgreSQL notamment)
• DevOps (linux, gestion de configuration, pipeline build et déploiement)
Profil recherché :
• Vous êtes un expert Java / JEE et justifiez d'au moins 10 ans d'expérience","java,  EE,  2E,  back end,  api,  algorithme, webservices,  front end,  frontend"
Ingénieur Test et Automatisation (H/F) ,X,"Nous recherchons pour un de nos clients, un ingénieur test et automation
Compétences souhaitées:
• Vous avez une expérience significative dans le test fonctionnel
• Vous justifiez d'au moins 4 années d'expérience
• Une formation ISTQB serait un plus 
• Vous avez de bonnes connaissances de l'automatisation de tests
• Vous parlez Anglais (Technique)
Environnement de travail :
• Compétences mixtes entre le technique et le fonctionnel : HTML / XPath
• SQL
• Sélénium / Appium
• Méthodologies du Test (ISTQB)","ingénieur, test automatisation,  recette, istqb, SQL"
Technicien support N2 - Win store ,X,"Nous recherchons pour un de nos clients, un technicien support N2-Winstore
Compétences souhaitées :
• Vous justifiez d'une expérience similaire dans un environnement Caisse.
• Vous avez le sens du service et des capacités d'organisation (planification de ses taches, gestion des priorités)
• Bon pédagogue, vous êtes autonome et rigoureux
• Vous maîtrisez Win store et Office 365 à GSuite
• Vous maîtrisez le Français et l'Anglais. L'espagnol est un plus
Environnement de travail :
• Winstore impératif
• TPE environnement caisse
• Windows et Mac OS
• Outils de ticketing : Service Now
• Office 365 à GSuite
• PDA Android","Windows, Mac OS,  ticketing,  pda, Android, office 365,  Gsuite support"
Ingénieur Etudes et Développement Drupal 8 (Ile de France),X,"Nous recherchons pour un de nos clients , un ingénieur étude et développement Drupal 8
Compétences souhaitées:
• Drupal 8( expert)
• MySQL( maitrise)
• PHP 5/7( maitrise)
• GIT(maitrise)
Qualité recherchée:
• Enthousiaste
• Autonome
• Capacité a communiquer
• Force de proposition
• Rigoureux 
• Esprit d'équipe
","ingenieur, etude, Drupal 8, PHP5, PHP 7,Shell, Unix, MySQL, GIT, esprit équipe, communication"
IT-Ingénieur C# et SQL ,X,"Nous recherchons pour un de nos clients , un IT-Ingénieur C# et SQL
Compétences souhaitées:
• VBA
• .net
• C#
• Sybase
• Oracle
• projet Ndod
• Être force de proposition sur la définition de solutions
•  Être volontaire dans la mise en place des pratiques agiles 
Description du poste :
• Prise de connaissance de l’existant 
• Participation à la définition des réalisations avec la maîtrise d’ouvrage
•  Développement de traitements et d’écrans C#/ASP.NET 
• Développement de procédures stockées (Sybase et/ou Oracle) 
• Assistance MOA/utilisateur 
Mission:
=>  Début :asap
Fin de la mission : 31/01/2021","c#, .net, Sybase, oracle, ndod, vba, technique, projet, ndod, nouveau défaut, IT, volontaire, solutions"
Développeur NET C# (Craft),X,"Nous recherchons pour un de nos clients, un développeur Net C#( Craft)
Secteur d'activité
•  Asset Management
Technologies utilisés
•  Clients lourds winforms cross asset
Mission:
•  Prendre en charge une application legacy construite sans la méthode TDD avec une couverture de test déficiente
• Appliquer la méthode TDD pour les évolution et re factoring nécessaire
Début de la mission : asap
Fin de la mission : 20/01/2021
Autre information requise:
•  Méthodologie de test nécessaire au poste","net, c#, asset management, TDD, client lourd"
Développeur SharePoint/Angular/.NET confirmé,X,"Nous recherchons pour un de nos clients, un développeur SharePoint/angular/.net:
• L'intervenant devra avoir une expérience confirmée sur le développement en mode Farm Solution (WSP) et les Add-Ins SharePoint 2016.
• L'intervenant aura en charge la migration des applications SharePoint existantes vers trois cibles possibles : SharePoint 2016, Office 365, réécriture Angular & .NET Web Api ;
l'échéance de cette migration étant fin 2020.
l'échéance de cette migration étant fin 2020. Il doit également avoir une bonne
• connaissance de SharePoint Online (O365).
Début de la mission : 17/02/2020
Fin de la mission : 31/01/2021
Secteur d'activité :
• Asset Management
Département concerné:
• Informatique, Système d'information
","SharePoint, angular, .net, web, api "
"Développement Angular, Node JS, Mango DB",X,"Nous recherchons pour un de nos clients, un développeur angular, node js, Mango dB
Description du poste:
Adaptations à réaliser
• Ajouter les informations bancaires au compte utilisateur
• Remplacer la notion de consultation avec une notion de séance de consultation qui permet à connecter deux professionnels de santé autour d’un patient pendant la consultation.
•  Évoluer l’intégration des données de santé en format HL7 pour pouvoir importer non seulement des mesures vitales, mais aussi des images, documents, etc.
•  Ajouter la notion des montants à une session de consultation
•  Gestion des paiements
•  Communication avec le lecteur de carte bancaire pour lui indiquer le montant à débiter et avoir l’acceptation d’opération par la banque
• Allocation des montants dans transactions par professionnel de santé
• Regroupement des transactions dans virements
• Transmissions des virements à la banque du compte collecteur
• Création des outils de rapport des paiements (par période et id utilisateur)","Angular, Node JS, Mango DB"
Architecte Salesforce H/F,X,"Nous recherchons pour un de nos clients, architecte Salesforce 
Compétence souhaitée:
• Bonne connaissance de l'environnement Community Cloud et Service Cloud
• Maitrise : App Builder, Community Cloud, Dev I et II, Web service, Win merge, Sourcetree, GIT, IDE Eclipse, SOA
• Maitrise de l’architecture d’entreprise, architecture applicative
• Revue de code
• Expérience de tech lead
Description du poste :
• Architecte Salesforce maîtrisant la configuration Salesforce ainsi que le langage et les patterns Apex, Lightning et les techniques de déploiement de package Salesforce.
• Maîtrise des API Salesforce (Rest, Tooling, Meta data, Partner, Autres).
• Capable de développer et déployer des services Web en mode Rest/Soap. Maîtrise des processus et outils de déploiement Salesforce.
• Il assurera la mise en œuvre et le déploiement de la solution.","Salesforce, architecte, cloud, apex, API, APP Builder, Win merge, sourcetree"
Développeur,X,"Nous recherchons pour un de nos clients, un développeur
Descriptif du poste
• Besoin de développer une solution complète de téléconsultation répondant à un processus complet de gestion de la consultation patient à distance
besoin de faire évoluer la solution actuelle sur:
• Ajouter les informations bancaires au compte utilisateur 
• Remplacer la notion de consultation avec une notion de séance de consultation qui permet à connecter deux professionnels de santé autour d’un patient pendant la consultation. 
•  Évoluer l’intégration des données de santé en format HL7 pour pouvoir importer non seulement des mesures vitales, mais aussi des images, documents, etc. 
•  Ajouter la notion des montants à une session de consultation 
•  Gestion des paiements a. Communication avec le lecteur de carte bancaire pour lui indiquer le montant à débiter et avoir l’acceptation d’opération par la banque 
• Allocation des montants dans transactions par professionnel de santé 
• Regroupement des transactions dans virements 
•  Transmissions des virements à la banque du compte collecteur 
•  Création des outils de rapport des paiements (par période et id utilisateur) ","HL7, technique, paiement, virement, analyse"
Développeur Salesforce  X2,X,"Nous recherchons pour un de nos clients, Deux  développeurs seniors Salesforce (environnement Community Cloud et Service Cloud)
Compétences souhaitées:
• Maîtrise la configuration Salesforce ainsi que le langage et les patterns Apex, Lightning et les techniques de déploiement de package Salesforce.
• Maîtrise des API Salesforce (Rest, Tooling, Meta data, Partner, Autres).
• Capable de développer et déployer des services Web en mode Rest/Soap. Maîtrise des processus et outils de déploiement Salesforce.
• Assurer la mise en œuvre et le déploiement de la solution.
• Maitrise : App Builder, Community Cloud, Dev I et II, Web service, Win merge, Sourcetree, GIT, IDE Eclipse, SOA
Mission
=>  3 mois minimum/ démarrage asap","Salesforce, rest tooling, Meta data app, Builder, cloud, sourcetree, GIT, SOA senior"
 DevOps Big Data,X,"Nous recherchons pour un de nos clients, un devops big data
Expérience souhaitée:
• Minimum 3 ans",Devops big data 
 Développeur full stack ReactJS/NodeJS,X,"Nous recherchons pour un de nos clients, un developpeur full stack react s/Node js
Expérience souhaitée:
• Minimum 3 ans","Full stack, full stack, react js, reactjs, nodejs, Node js, front end, back end, analyse, conception"
 Tech Lead NodeJS,X,"Nous recherchons pour un de nos clients, un tech lead Node js
Expérience souhaitée:
• Minimum 3 ans","Node js, nodejs, teach lead, pilotage, technical, technique"
 Tech Lead ReactJS ,X,"Nous recherchons pour un de nos clients, un tech lead react js
Expérience souhaitée:
• Minimum 3 ans","react js, reactjs, lead, technical, technique"
Ingénieur sécurité et réseaux,X,"Nous recherchons pour un de nos clients, un ingénieur sécurité et réseaux
Compétences souhaitées:
• F5 (GTM/ASM/LTM/APM)
• Palo Alto 
• Azure
Expérience souhaitée:
• Minimum 4ans
","securite et reseaux, azure, Palo Alto, ingenieur"
Concepteur Trading,X,"Nous recherchons pour un de nos clients, un concepteur trading
Expérience souhaitée
• Minimum 4ans 
Objectifs de la mission : 
• Prise de spécifications auprès du trading
• Analyse et compréhension du besoin fonctionnel
•Implémentation d’une solution technique
• Tests des outils
• Livraison des outils
Mission
=>  Longue, démarrage ASAP","concepteur trading, technique, tests, programmation, developpement application, ecoute, rigueur Informatique trading finance specification"
Data Engineer SQL /MSBI (SSAS),X,"Nous recherchons pour un de nos clients, un data engineer SQL/MSBI
Expérience souhaitée:
• 5 ans d’expérience minimum
Compétences souhaitées:
•  Maitrise du SQL
• Maitrise des cubes SSAS (tabulaire & Multi-Dim)
• Cloud Azure – Power BI
•Anglais – B2 minimum
Mission
=> Longue, démarrage ASAP","Data, SQL, cloud, azure, power bi, ingenieur"
Pilotes de projet supply chain,X,"Nous recherchons pour un de nos clients, deux pilotes de projet Supply Chain
Compétences souhaitées:
• Etre autonomes sur les compétences AMOA de pilote de projet et les problématiques Supply Chain.
Mission 
=> Longue/Démarrage :  ASAP
","pilote, supply Chain, AMOA, projet "
Consultant technico-fonctionnel,X,"Nous recherchons pour un de nos clients, un consultant technico-fonctionnel
Compétences souhaitées
• Anglais courant
• Rédaction de spécifications techniques 
• Fournir et présenter la documentation aux développeurs
•  Rédaction des dossiers de tests
• Développement, recette, corrections des anomalies.
• Pilotage des livraisons d’évolutions et des correctifs.
Mission
=> Longue","technico-fonctionnel, technico fonctionnel, recette, anomalie"
 Lead Développeur Drupal 8 (Ile de France),X,"Nous recherchons pour un de nos clients, un lead developpeur Drupal 8
Compétences souhaitées:
• Capacité à communiquer et force de proposition
• Rigoureux dans sa méthode et son travail
• Vous êtes passionné par les nouvelles technologies et l'innovation 
• Drupal 8 (Expert)
• MySQL (Maitrisé)
• PHP 5/7 (Maitrisé)
• GIT (Maitrisé)
Environnement de travail : 
• Conception objet ;
• Langages : DRUPAL 8 et PHP 5/7
• Web services : REST, flux JSON, SOAP ;
• Multithreading ;
• UNIX, Shell ;
Expériences souhaitées
• Vous justifiez d'au moins 2 années d'expérience sur un poste similaire
","Drupal 8, MySQL, PHP5, PHP7, GIT, Json, SOAP, lead, technique, coordination"
